gene	query	kegg_org_hit	gene_hit	percent_id	e_vlaue
1	ASF356	efa	trag_family_protein	84.7	2.1e-133
2	ASF356	cap	hypothetical_protein	28.7	4.0e-08
3	ASF356	sezo	hypothetical_protein	43.2	2.6e-29
4	ASF356	sds	hypothetical_protein	59.0	1.9e-112
5	ASF356	cdf	hypothetical_protein	68.3	7.1e-99
6	ASF356	blo	hypothetical_protein	70.0	7.0e-48
7	ASF356	rob	hypothetical_protein	45.5	1.7e-06
8	ASF356	efd	hypothetical_protein	29.1	1.0e-06
9	ASF356	amt	replication_initiator_a_domain-containing_protein	60.7	7.2e-36
10	ASF356	sezo	tnpx|tnpx_site-specific_recombinase_family_protein	61.8	3.4e-199
11	ASF356	rob	site-specific_recombinases|dna_invertase_pin_homologs	84.2	1.2e-70
12	ASF356	cdf	two-component_response_regulator,tn1549-like,ctn4-orf26	81.7	6.0e-105
13	ASF356	cdf	two-component_sensor_histidine_kinase,tn1549-like|ctn4-orf27	76.0	3.8e-99
14	ASF356	cdf	abc_transporter_multidrug-family_atp-binding_protein_tn1549-like|ctn4-orf28_(ec:3.6.3.-)	90.5	4.9e-155
15	ASF356	rho	lantibiotic_abc_transporter_permease	65.5	1.4e-94
16	ASF356	rho	lantibiotic_abc_transporter_permease	64.4	7.6e-63
17	ASF356	rho	hypothetical_protein	71.8	7.5e-41
18	ASF356	cdl	hypothetical_protein	63.6	1.1e-46
19	ASF356	bbp	dna_integration/recombination/inversion_protein	87.8	1.6e-181
20	ASF356	bpb	glgc1|glucose-1-phosphate_adenylyltransferase_(ec:2.7.7.27)	70.6	2.8e-129
21	ASF356	elm	hypothetical_protein	48.9	8.5e-127
22	ASF356	cso	transcriptional_regulators	33.1	1.8e-14
23	ASF356	rho	recombinase	78.4	3.3e-121
24	ASF356	rho	recombinase	75.1	4.1e-110
25	ASF356	rho	hypothetical_protein	69.3	8.7e-28
26	ASF356	fpr	sigma-70|region_4.	69.8	2.0e-47
27	ASF356	thl	putative_methyltransferase_(ec:2.1.1.-)	53.3	2.8e-85
28	ASF356	rob	predicted_transcriptional_regulators	57.8	2.9e-31
29	ASF356	rho	relaxase/mobilization_nuclease_family_protein	79.4	1.4e-209
30	ASF356	fpr	hypothetical_protein	90.0	8.4e-28
31	ASF356	fpr	type_iv_secretory_pathway|vird4_components	85.1	9.1e-310
32	ASF356	ckl	hypothetical_protein	55.8	7.1e-06
33	ASF356	rho	hypothetical_protein	66.7	2.4e-85
34	ASF356	rim	hypothetical_protein	86.7	2.1e-50
35	ASF356	esr	parb-like_partition_proteins	63.0	5.8e-76
36	ASF356	rho	parb-like_partition_protein	43.9	7.6e-17
37	ASF356	vpr	hypothetical_protein	67.4	1.7e-29
38	ASF356	rob	helix-turn-helix.	48.9	3.7e-46
39	ASF356	ova	putative_site-specific_recombinase	44.2	6.0e-32
40	ASF356	ova	putative_site-specific_recombinase	60.0	4.4e-29
41	ASF356	bll	hypothetical_protein	68.7	1.1e-103
42	ASF356	rto	type_iv_secretory_pathway|vird4_components	81.3	5.5e-230
43	ASF356	rob	hypothetical_protein	79.9	5.5e-132
44	ASF356	cdf	conjugative_transposon_protein	64.5	5.5e-40
45	ASF356	rob	hypothetical_protein	70.6	2.5e-218
46	ASF356	dec	trse-like_protein	81.2	2.2e-96
47	ASF356	fpa	site-specific_dna_methylase_(ec:2.1.1.37)	71.8	3.3e-49
